Clasificador,Tipo_Fold,Num_Fold,Accuracy,Precision,Recall,Specificity,Fscore,AUROC,tn,fp,fn,tp
SVC,kfold,1,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.5555555555555556,0,3,0,15
SVC,kfold,2,0.7777777777777778,0.7777777777777778,1.0,0.0,0.875,0.26785714285714285,0,4,0,14
SVC,kfold,3,0.7777777777777778,0.7777777777777778,1.0,0.0,0.875,0.6607142857142857,0,4,0,14
SVC,kfold,4,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.3111111111111111,0,3,0,15
SVC,kfold,5,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.6000000000000001,0,3,0,15
SVC,groupkfold,1,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.9333333333333333,0,3,0,15
SVC,groupkfold,2,0.7222222222222222,0.7222222222222222,1.0,0.0,0.8387096774193549,0.3076923076923077,0,5,0,13
SVC,groupkfold,3,0.7222222222222222,0.7222222222222222,1.0,0.0,0.8387096774193549,0.46153846153846156,0,5,0,13
SVC,groupkfold,4,0.9444444444444444,0.9444444444444444,1.0,0.0,0.9714285714285714,0.0,0,1,0,17
SVC,groupkfold,5,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.6222222222222222,0,3,0,15
SVC,stratifiedkfold,1,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.5555555555555556,0,3,0,15
SVC,stratifiedkfold,2,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.17777777777777778,0,3,0,15
SVC,stratifiedkfold,3,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.8888888888888888,0,3,0,15
SVC,stratifiedkfold,4,0.7777777777777778,0.7777777777777778,1.0,0.0,0.875,0.6607142857142857,0,4,0,14
SVC,stratifiedkfold,5,0.7777777777777778,0.7777777777777778,1.0,0.0,0.875,0.46428571428571425,0,4,0,14
SVC,stratifiedgroupkfold,1,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.6444444444444445,0,3,0,15
SVC,stratifiedgroupkfold,2,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.3777777777777778,0,3,0,15
SVC,stratifiedgroupkfold,3,0.7777777777777778,0.7777777777777778,1.0,0.0,0.875,0.375,0,4,0,14
SVC,stratifiedgroupkfold,4,0.8333333333333334,0.8333333333333334,1.0,0.0,0.9090909090909091,0.6000000000000001,0,3,0,15
